"PATH";"/System/Characts/Ings";;;;;;
"TYPE";"bcpg:ing";;;;;;
"COLUMNS";"cm:name";"cm:description";"bcpg:ingType";"bcpg:ingCEECode";"bcpg:legalName";"bcpg:legalName_fr";"bcpg:legalName_en"
"VALUES";"centaurea cyanus flower extract";"apaisant";"Ingrédient";;"centaurea cyanus flower extract";"centaurea cyanus flower extract";"centaurea cyanus flower extract"
"VALUES";"centella asiatica extract";"conditionneur, actif apaisant, adoucissant";"Ingrédient";;"centella asiatica extract";"centella asiatica extract";"centella asiatica extract"
"VALUES";"cera alba (beeswax)";"stabilisateur d'émulsion, conditionneur, épaississant";"Ingrédient";;"cera alba (beeswax)";"cera alba (beeswax)";"cera alba (beeswax)"
"VALUES";"cera candelilla (euphorbia cerifera wax)";"stabilisateur d'émulsion, épaississant, liant, filmogène, conditionneur";"Ingrédient";;"cera candelilla (euphorbia cerifera wax)";"cera candelilla (euphorbia cerifera wax)";"cera candelilla (euphorbia cerifera wax)"
"VALUES";"cera carnauba (copernicia cerifera wax)";"stabilisateur d'émulsion, épaississant, durciceur, liant";"Ingrédient";;"cera carnauba (copernicia cerifera wax)";"cera carnauba (copernicia cerifera wax)";"cera carnauba (copernicia cerifera wax)"
"VALUES";"cera microcristallina (and) paraffinum liquidum (a";"émollient, protecteur";"Ingrédient";;"cera microcristallina (and) paraffinum liquidum (a";"cera microcristallina (and) paraffinum liquidum (a";"cera microcristallina (and) paraffinum liquidum (a"
"VALUES";"ceramide 3";"conditionneur";"Ingrédient";;"ceramide 3";"ceramide 3";"ceramide 3"
"VALUES";"ceteareth-6";"émulsionnant";"Ingrédient";;"ceteareth-6";"ceteareth-6";"ceteareth-6"
"VALUES";"ceteareth-60 myristyl glycol";"émulsionnant";"Ingrédient";;"ceteareth-60 myristyl glycol";"ceteareth-60 myristyl glycol";"ceteareth-60 myristyl glycol"
"VALUES";"cetearyl alcohol";"stabilisant, opacifiant, épaississant";"Ingrédient";;"cetearyl alcohol";"cetearyl alcohol";"cetearyl alcohol"
"VALUES";"cetearyl ethylhexanoate";"conditionneur, émollient";"Ingrédient";;"cetearyl ethylhexanoate";"cetearyl ethylhexanoate";"cetearyl ethylhexanoate"
"VALUES";"cetearyl glucoside";"émulsionnant";"Ingrédient";;"cetearyl glucoside";"cetearyl glucoside";"cetearyl glucoside"
"VALUES";"cetearyl isononanoate";"conditionneur, émollient";"Ingrédient";;"cetearyl isononanoate";"cetearyl isononanoate";"cetearyl isononanoate"
