VALUES;CIQUAL24320;Gaufrette fourrée, aux fruits;Gaufrette fourrée, aux fruits;Biscuit (cookie), wafer with fruit filling;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL24430;Biscuit sec aux oeufs à  la cuillère (cuiller) ou Boudoir;Biscuit sec aux oeufs à  la cuillère (cuiller) ou Boudoir;Biscuit (cookie), sponge fingers or Lady fingers;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL24441;Langue de chat;Langue de chat;Biscuit (cookie), vanilla;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL24520;Meringue;Meringue;Biscuit (cookie), meringue, from bakery;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL24615;Biscuit sec ou tuile, aux amandes;Biscuit sec ou tuile, aux amandes;Biscuit (cookie), thin, with almonds;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL24630;Madeleine;Madeleine;Madeleine biscuit (cookie);CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL24659;Biscuit sec feuilleté, type palmier ou autres;Biscuit sec feuilleté, type palmier ou autres;Biscuit (cookie), flaky pastry;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL24660;Palmier, artisanal;Palmier, artisanal;Biscuit (cookie), flaky pastry, from bakery;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL24666;Mille-feuilles;Mille-feuilles;Mille-feuille pastry, from bakery;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL24678;Biscuit sec (génoise) nappé aux fruits, type barquette;Biscuit sec (génoise) nappé aux fruits, type barquette;Biscuit (cookie), boat-shaped, jam filled, commercial;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL24680;Biscuit moelleux fourré à  l'orange et enrobé de sucre glace;Biscuit moelleux fourré à  l'orange et enrobé de sucre glace;Little sponge cake with orange filling, sugar iced;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL24684;Cookie;Cookie;Biscuit (cookie), chocolate-chip;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL24686;Génoise sèche fourrée aux fruits et nappée de chocolat;Génoise sèche fourrée aux fruits et nappée de chocolat;Biscuit (cookie), with fruit filling, chocolate-topped;CIQUAL;Pâtisseries et biscuits
VALUES;CIQUAL25001;Blanquette de veau;Blanquette de veau;Veal stew in white sauce;CIQUAL;Plats composés
VALUES;CIQUAL25002;Cassoulet, appertisé;Cassoulet, appertisé;Cassoulet, canned;CIQUAL;Plats composés
VALUES;CIQUAL25003;Choucroute garnie, appertisée;Choucroute garnie, appertisée;Sauerkraut with meat, canned;CIQUAL;Plats composés
VALUES;CIQUAL25004;Choucroute, sans jus;Choucroute, sans jus;Sauerkraut, drained;CIQUAL;Plats composés
VALUES;CIQUAL25009;Hachis Parmentier;Hachis Parmentier;Shepherd's pie;CIQUAL;Plats composés
VALUES;CIQUAL25010;Petit salé ou saucisse aux lentilles;Petit salé ou saucisse aux lentilles;Lentils with salt-cured pork or sausage;CIQUAL;Plats composés
VALUES;CIQUAL25013;Pot-au-feu;Pot-au-feu;Pot-au-feu;CIQUAL;Plats composés
VALUES;CIQUAL25018;Ratatouille nià§oise;Ratatouille nià§oise;Ratatouille;CIQUAL;Plats composés
VALUES;CIQUAL25019;Ravioli viande, sauce tomate;Ravioli viande, sauce tomate;Ravioli with meat and tomato sauce, canned;CIQUAL;Plats composés
VALUES;CIQUAL25020;Soufflé au fromage;Soufflé au fromage;Cheese soufflé;CIQUAL;Plats composés
VALUES;CIQUAL25029;Couscous mouton;Couscous mouton;Couscous with mutton;CIQUAL;Plats composés
VALUES;CIQUAL25031;Paella;Paella;Paà«lla;CIQUAL;Plats composés
VALUES;CIQUAL25033;Boeuf bourguignon;Boeuf bourguignon;Beef stew, Burgundy-style;CIQUAL;Plats composés
VALUES;CIQUAL25049;Poisson avec tagliatelles;Poisson avec tagliatelles;Fish with tagliatelles and cream;CIQUAL;Plats composés
VALUES;CIQUAL25051;Paella, surgelée;Paella, surgelée;Paà«lla, frozen;CIQUAL;Plats composés
