STOP_ON_FIRST_ERROR;false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PATH;/Temp/CIQUAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TYPE;bcpg:rawMaterial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DISABLED_POLICIES;rep:reportEntityAspect;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAPPING;NutDatabaseFrench;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COLUMNS;bcpg:code;Sodium;Magnésium;Phosphore;Potassium;Calcium;Manganèse;Fer total;Cuivre;Zinc;Sélénium;Iode;Protéines;Protéines brutes (N x 6.25);Glucides;Sucres;Energie kJ, étiquetage;Energie kcal, étiquetage;Amidon;Energie kJ;Energie kcal;Polyols totaux;Fibres alimentaires;Eau;Lipides;AG saturés;AG monoinsaturés;AG polyinsaturés;Rétinol;Bêta-carotène;Vitamine D;Activité vitaminique E (en équivalents alpha-tocophérol);Vitamine C totale;Vitamine B1 ou Thiamine;Vitamine B2 ou Riboflavine;Vitamine B3 ou PP ou Niacine;Vitamine B5 ou Acide pantothénique;Vitamine B6 ou Pyridoxine;Vitamine B12 ou Cobalamines;Vitamine B9 ou Folates totaux;Alcool (éthanol);Acides organiques;Cholestérol
VALUES;CIQUAL17610;0;0;0;0;0;0;0;0;0;0;0,8;0;0;0;0;3700;900;0;3700;900;0;0;0;100;22;46,5;24,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VALUES;CIQUAL16530;640;9;102;177;29;0,001;0,777;0,054;1,14;0;0,5;7,36;7,36;1;0;2700;654;0;2700;654;0;0;20,5;69;24,6;29,3;12,4;10,3;0;1,6;0,07;0,0333;0,346;0,143;2,34;0,363;0,264;0,44;1;0;0;81,3
VALUES;CIQUAL16520;1,33;0,667;2,4;0,667;0,6;0,00933;0,0533;0,0133;0,055;2,37;1,37;0,06;0,06;0;0;3700;900;0;3700;900;0;0;0,875;100;44;37,8;9;4,5;0;0;0,7;0;0;0;0;0;0,008;0;0;0;0;95
VALUES;CIQUAL16412;168;2,97;8,24;45,1;14,9;0,294;0,335;0,294;0,294;4,77;3,77;3,41;3,41;4,47;0,187;1270;307;0;1270;307;0;0;62,8;30,6;19;7,27;1,03;201;289;0,0588;1,51;0,294;0,0147;0,0147;0,0147;0,0353;0,0147;0,0588;1,47;0;0;60,2
VALUES;CIQUAL16410;20,7;3,8;35;47,7;36,8;1;1;1;1;5,5;2;2,1;2,1;0,6;0,5;2310;562;0;2310;562;0;0;36,7;61,2;39,4;13,2;1,68;417;319;0,7;1,1;1;0,05;0,09;0,02;0,1;0,11;0,32;1,65;0;0;156
VALUES;CIQUAL16411;450;3,45;34;42,2;33,4;0;0,595;0;0,26;0;2;2,1;2,1;0,5;0;2190;532;0;2190;532;0;0;39,5;58;37,4;12,5;1,59;456;107;0,6;1,1;0;0,005;0,045;0,02;0;0,01;0,065;1,65;0;0;120
VALUES;CIQUAL16402;774;4,94;23,7;39;16,5;0,00473;0,154;0,00918;0,0516;10;1,75;0,7;0,7;1;0,06;3010;732;0;3010;732;0;0;15,3;80,8;54,8;20,2;2,64;800;370;1,13;1,9;0;0,00733;0,033;0,0607;0,11;0,001;0,17;3;0;0;228
VALUES;CIQUAL16400;15,5;2,03;24;17,8;16,5;0,00184;0,0873;0,0257;0,083;1,8;1,75;0,7;0,686;1;0,58;3060;745;0;3060;745;0;0;15,6;82,2;54,9;18,2;2,91;800;328;1,01;1,5;0;0,005;0,0248;0,0273;0,11;0,001;0,085;2;0;0;224
VALUES;CIQUAL16415;0;0;0;0;0;0;0,1;0;0;0;2;7;7;1;0;1480;359;0;1480;359;0;0;56,7;36,3;23,1;9,37;1,28;0;0;0;1,22;0;0;0;0;0;0;0;0;0;0;84,5
VALUES;CIQUAL16416;0;8;0;80;23;0;0,1;0;0;0;2;7;7;1;1;1600;388;0;1600;388;0;0;51;39,6;22,6;9,18;1,26;0;0;0;2,98;0;0;0;0;0;0;0;0;0;0;0
