COLUMNS;id;bcpg:hierarchy1;bcpg:hierarchy2;cm:name;bcpg:legalName;Energie kJ, étiquetage;Energie kcal, étiquetage;Energie kJ;Energie kcal;Eau;Protéines;Protéines brutes (N x 6.25);Glucides;Lipides;Sucres;Amidon;Fibres alimentaires;Polyols totaux;Résidu à sec;Alcool (éthanol);Acides organiques;AG saturés;AG monoinsaturés;AG polyinsaturés;AG 4:0, butyrique;AG 6:0, caproïque;AG 8:0, caprylique;AG 10:0, caprique;AG 12:0, laurique;AG 14:0, myristique;AG 16:0, palmitique;AG 18:0, stéarique;AG 18:1 9c (n-9), oléique;AG 18:2 9c,12c (n-6), linoléique;AG 18:3 c9,c12,c15 (n-3), alpha-linolénique;AG 20:4 5c,8c,11c,14c (n-6), arachidonique;AG 20:5 5c,8c,11c,14c,17c (n-3), EPA;AG 22:6 4c,7c,10c,13c,16c,19c (n-3), DHA;Cholestérol;Sel;Calcium;Chlorure;Cuivre;Fer;Iode;Magnésium;Manganèse;Phosphore;Potassium;Sélénium;Sodium;Zinc;Rétinol;Bêtacarotène;Vitamine D;Activité vitaminique E (en équivalents alpha-tocophérol);Vitamine K1;Vitamine K2;Vitamine C totale;Vitamine B1 ou Thiamine;Vitamine B2 ou Riboflavine;Vitamine B3 ou PP ou Niacine;Vitamine B5 ou Acide pantothénique;Vitamine B6 ou Pyridoxine;Vitamine B9 ou Folates totaux;Vitamine B12 ou Cobalamines
VALUES;19539;CIQUAL;Yaourts et spécialités laitières type yaourts;Lait fermenté ou spécialité laitière type yaourt, aromatisé, sucré, au bifidus;Lait fermenté ou spécialité laitière type yaourt, aromatisé, sucré, au bifidus;;;;;78,7;3,45;3,38;12,5;2,94;12;0;0;0;0,79;0;;1,92;0,72;0,14;0,053;0,046;0,03;0,071;0,086;0,29;0,81;0,25;0,58;0,026;0,013;0,005;0,005;0,005;10,4;0,11;122;109;0,007;1;8,1;11,7;0,001;101;139;1,1;42,9;0,41;2;50;0,3;0,1;;;1;0,04;0,19;0,12;0,47;0,05;5,3;0,22
VALUES;19542;CIQUAL;Yaourts et spécialités laitières type yaourts;Lait fermenté ou spécialité laitière type yaourt, aux fruits, sucré, au bifidus;Lait fermenté ou spécialité laitière type yaourt, aux fruits, sucré, au bifidus;409;97,2;410;97,5;78;3,57;3,5;13;3,01;12,9;0;0,65;0,09;0,78;0;1;2;;;;;;;;;;;;;;;;;;0,14;122;;0,1;;12,6;12;0,1;92;153;5;53,8;0,42;;38;;;;;;;;;;;;0,24
VALUES;19546;CIQUAL;Yaourts et spécialités laitières type yaourts;Lait fermenté ou spécialité laitière type yaourt, nature, au bifidus;Lait fermenté ou spécialité laitière type yaourt, nature, au bifidus;281;67;282;67,3;86,6;3,84;3,77;4,11;3,6;3,93;0,18;0,18;0;0,8;0;1;2,3;0,87;0,076;0,091;0,06;0,039;0,09;0,11;0,36;0,94;0,32;0,69;0,052;0,016;0,005;0,005;0,005;11,4;0,12;130;;0,1;0,07;11,5;12,1;0,1;97,3;145;2,2;47,6;0,45;;;0,5;0,3;;;0,5;0,04;0,22;0,088;0,3;0,049;12,3;0,23
VALUES;19550;CIQUAL;Yaourts et spécialités laitières type yaourts;Yaourt à la grecque, au lait de brebis;Yaourt à la grecque, au lait de brebis;;;;;80,9;5,33;5,23;3,83;10;3;;0;0;0,65;0;;7,5;1,9;0,4;;;;;;;;;;;;;;;14;0,15;150;220;;;0;16;;140;190;1;60;0,5;86;;0,24;0,73;;;;0,05;0,33;0,23;0;0,08;3;0,2
VALUES;19552;CIQUAL;Yaourts et spécialités laitières type yaourts;Yaourt à la grecque, sur lit de fruits;Yaourt à la grecque, sur lit de fruits;;;;;75,2;2,48;2,43;16,3;6,74;15;0,35;0,38;0;0,5;0;;4,45;1,27;0,24;0,22;0,15;0,095;0,14;0,2;0,56;1,68;0,56;1,27;0,19;0,047;0,0027;0,0027;0,0027;20,9;0,1;104;69,8;0,02;0,07;20;8,4;0,12;71;110;20;39,4;0,27;55;37,1;;0,25;1,17;;0,5;0,028;0,1;0,1;0,24;0,031;5,14;0,22
VALUES;19556;CIQUAL;Yaourts et spécialités laitières type yaourts;Yaourt au lait de chèvre, nature, 5% MG environ;Yaourt au lait de chèvre, nature, 5% MG environ;;;;;88,7;5,72;5,6;2,8;5;2,8;;0;0;0,55;0;;3,5;0,9;0,1;;;;;;;;;;;;;;;11;0,098;160;130;0,01;0,2;;14;;110;170;;39;0,4;;;;0,03;;;1;0,04;0,17;0,27;0,23;0,06;7;
VALUES;19558;CIQUAL;Yaourts et spécialités laitières type yaourts;Yaourt, lait fermenté ou spécialité laitière, aux céréales, 0% MG;Yaourt, lait fermenté ou spécialité laitière, aux céréales, 0% MG;;;;;84,4;4,63;4,53;8;0,9;6,3;1,6;0,3;0;0,63;0;;0,5;0,27;0,1;;;;;;;;;;;;;;;1;0,18;138;;0,2;0,42;19;15,8;0,07;110;186;1,9;72;0,5;1;2;0;0,2;;;3;0,1;0,29;0,93;0,73;0,14;36,6;0,3
VALUES;19559;CIQUAL;Yaourts et spécialités laitières type yaourts;Yaourt, lait fermenté ou spécialité laitière, aromatisé, avec édulcorants, 0% MG;Yaourt, lait fermenté ou spécialité laitière, aromatisé, avec édulcorants, 0% MG;232;54,5;233;54,8;85,2;4,53;4,44;8,29;0,06;4,23;;;0;0,91;0;1;0,038;;;;;;;;;;;;;;;;;;0,15;141;;0,1;;15,1;;0,1;;;5;57,5;0,52;2;8;1,25;;;;;;;;;;;
VALUES;19575;CIQUAL;Yaourts et spécialités laitières type yaourts;Yaourt, lait fermenté ou spécialité laitière, aromatisé, sucré;Yaourt, lait fermenté ou spécialité laitière, aromatisé, sucré;370;87,8;371;88,1;80,2;3,42;3,35;11,9;2,6;11,8;0,16;0,17;0;0,72;0;1;1,75;0,4;0,041;0,049;0,032;0,02;0,045;0,053;0,18;0,48;0,16;0,38;0,03;0,011;0,005;0,005;0,005;8,6;0,15;120;61;0,1;0,1;7;10,9;0,1;86;140;2,78;50,9;0,4;26;13;0,76;0,041;0;;0,5;0,17;0,22;0,13;0,9;0,05;20;0,18
VALUES;19577;CIQUAL;Yaourts et spécialités laitières type yaourts;Yaourt, lait fermenté ou spécialité laitière, aromatisé, sucré, à la crème;Yaourt, lait fermenté ou spécialité laitière, aromatisé, sucré, à la crème;;;;;77,6;3,3;3,23;13,4;5,68;12,6;0,35;0,083;0;0,6;0;;4,18;1,01;0,12;0,18;0,12;0,11;0,14;0,25;0,57;1,53;0,6;1,01;0,12;0,0025;0,0025;0,0025;0,0025;19;0,11;108;89;0,01;0,04;20;9,2;0,01;82;120;20;40;0,38;49,1;29,5;0,75;0,15;0,8;;0,5;0,14;0,15;0,1;0,76;0,034;14,7;0,19
