COLUMNS;id;bcpg:hierarchy1;bcpg:hierarchy2;bcpg:suppliers;cm:name;bcpg:legalName;Energie kJ, étiquetage;Energie kcal, étiquetage;Energie kJ;Energie kcal;Eau;Protéines;Protéines brutes (N x 6.25);Glucides;Lipides;Sucres;Amidon;Fibres alimentaires;Alcool (éthanol);Polyols totaux;Acides organiques;AG saturés;AG monoinsaturés;AG polyinsaturés;AG 4:0, butyrique;AG 6:0, caproïque;AG 8:0, caprylique;AG 10:0, caprique;AG 12:0, laurique;AG 14:0, myristique;AG 16:0, palmitique;AG 18:0, stéarique;AG 18:1 9c (n9), oléique;AG 18:2 9c,12c (n6), linoléique;AG 18:3 c9,c12,c15 (n3), alphalinolénique;AG 20:4 5c,8c,11c,14c (n6), arachidonique;AG 20:5 5c,8c,11c,14c,17c (n3), EPA;AG 22:6 4c,7c,10c,13c,16c,19c (n3), DHA;Cholestérol;Sel;Sodium;Chlorure;Magnésium;Phosphore;Potassium;Calcium;Manganèse;Fer;Cuivre;Zinc;Sélénium;Iode;Rétinol;Bêtacarotène;Vitamine D;Activité vitaminique E (en équivalents alphatocophérol);Vitamine K1;Vitamine K2;Vitamine C totale;Vitamine B1 ou Thiamine;Vitamine B2 ou Riboflavine;Vitamine B3 ou PP ou Niacine;Vitamine B5 ou Acide pantothénique;Vitamine B6 ou Pyridoxine;Vitamine B9 ou Folates totaux;Vitamine B12 ou Cobalamines
VALUES;13422;CIQUAL;fruits;Table Ciqual 2020;"Jus de prune de cythère verte ""géante"" (variété locale), fruit vert, pur jus filtré, prélevée à la Martinique";"Jus de prune de cythère verte ""géante"" (variété locale), fruit vert, pur jus filtré, prélevée à la Martinique";0;;0;;91,7;0,44;0,44;6,55;0,28;0,03;1,77;0,8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21,1;;;;;;;
VALUES;13423;CIQUAL;fruits;Table Ciqual 2020;"Jus de prune de cythère verte ""naine"" (variété hybride), fruit mûr, pur jus filtré, prélevée à la Martinique";"Jus de prune de cythère verte ""naine"" (variété hybride), fruit mûr, pur jus filtré, prélevée à la Martinique";0;;0;;87,8;0,69;0,69;9,97;0,21;6,14;1,11;0,9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34,3;;;;;;;
VALUES;13424;CIQUAL;fruits;Table Ciqual 2020;"Jus de prune de cythère verte ""naine"" (variété hybride), fruit vert, pur jus filtré, prélevée à la Martinique";"Jus de prune de cythère verte ""naine"" (variété hybride), fruit vert, pur jus filtré, prélevée à la Martinique";0;;0;;91,6;0,67;0,67;6,34;0,26;0,19;1,41;0,8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45,5;;;;;;;
VALUES;13425;CIQUAL;fruits;Table Ciqual 2020;Mandarine commune, pulpe, au sirop, appertisée, non égouttée, prélevée à la Martinique;Mandarine commune, pulpe, au sirop, appertisée, non égouttée, prélevée à la Martinique;0;;0;;;;;;;17,4;;0,7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;33,5;
VALUES;13426;CIQUAL;fruits;Table Ciqual 2020;Mango bassignac, pulpe, cru, prélevé à la Martinique;Mango bassignac, pulpe, cru, prélevé à la Martinique;0;;0;;77,3;0,32;0,32;18,5;;;4,5;3,2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23,3;;;;;;;
VALUES;13427;CIQUAL;fruits;Table Ciqual 2020;Mango moussache, pulpe, cru, prélevé à la Martinique;Mango moussache, pulpe, cru, prélevé à la Martinique;0;;0;;75,5;1,28;1,28;20,9;;;3,7;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8,1;;;;;;;
VALUES;13428;CIQUAL;fruits;Table Ciqual 2020;Mangue julie, pulpe, crue, prélevée à la Martinique;Mangue julie, pulpe, crue, prélevée à la Martinique;0;;0;;77,8;0,71;0,71;18,3;;;6;2,8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;;;;;;;
VALUES;13429;CIQUAL;fruits;Table Ciqual 2020;Mangue verte, pulpe, crue, prélevée à la Martinique;Mangue verte, pulpe, crue, prélevée à la Martinique;0;;0;;82,1;1,31;1,31;12,2;;;0,9;3,4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17,2;;;;;;;
VALUES;13430;CIQUAL;fruits;Table Ciqual 2020;Melon, pulpe, cru, prélevé à la Martinique;Melon, pulpe, cru, prélevé à la Martinique;0;;0;;87;1,08;1,08;;0,047;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27,2;;;;;;;
VALUES;13431;CIQUAL;fruits;Table Ciqual 2020;Orange (variété locale), pulpe, prélevée à la Martinique;Orange (variété locale), pulpe, prélevée à la Martinique;0;;0;;90,2;0,6;0,6;;0,67;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,2;;;;;;;
