COLUMNS;id;bcpg:hierarchy1;bcpg:hierarchy2;bcpg:suppliers;cm:name;bcpg:legalName;Energie kJ, étiquetage;Energie kcal, étiquetage;Energie kJ;Energie kcal;Eau;Protéines;Protéines brutes (N x 6.25);Glucides;Lipides;Sucres;Amidon;Fibres alimentaires;Alcool (éthanol);Polyols totaux;Acides organiques;AG saturés;AG monoinsaturés;AG polyinsaturés;AG 4:0, butyrique;AG 6:0, caproïque;AG 8:0, caprylique;AG 10:0, caprique;AG 12:0, laurique;AG 14:0, myristique;AG 16:0, palmitique;AG 18:0, stéarique;AG 18:1 9c (n9), oléique;AG 18:2 9c,12c (n6), linoléique;AG 18:3 c9,c12,c15 (n3), alphalinolénique;AG 20:4 5c,8c,11c,14c (n6), arachidonique;AG 20:5 5c,8c,11c,14c,17c (n3), EPA;AG 22:6 4c,7c,10c,13c,16c,19c (n3), DHA;Cholestérol;Sodium;Magnésium;Phosphore;Potassium;Calcium;Manganèse;Fer;Cuivre;Zinc;Sélénium;Iode;Rétinol;Bêtacarotène;Vitamine D;Activité vitaminique E (en équivalents alphatocophérol);Vitamine K1;Vitamine K2;Vitamine C totale;Vitamine B1 ou Thiamine;Vitamine B2 ou Riboflavine;Vitamine B3 ou PP ou Niacine;Vitamine B5 ou Acide pantothénique;Vitamine B6 ou Pyridoxine;Vitamine B9 ou Folates totaux;Vitamine B12 ou Cobalamines
VALUES;13045;CIQUAL;Fruits frais;Table Ciqual 2013;Raisin noir, frais;Raisin noir, frais;264;62,1;264;62,1;83,2;0,5;0,5;12,1;0,25;12,2;0;1,2;0;0;2,35;0,08;0,008;0,074;0;0;0;0;0;0,00185;0,0689;0,00923;0,008;0,0569;0,0171;0;0;0;0,09;0,292;6,78;12,9;172;8,98;0,0508;0,3;0,0783;0,0637;2,2;0,45;0;24;0;0,2;;;8,4;0,0375;0,02;0,125;0,075;0,07;26,7;0
VALUES;13134;CIQUAL;Fruits frais;Table Ciqual 2013;Salade de fruits frais;Salade de fruits frais;354;83,5;354;83,5;78;0,73;0,73;18,3;0,33;17,1;0,6;1,5;0;0;0,46;0,0444;0,0273;0,0975;0;0;0;0;0,0000552;0,000617;0,0357;0,00626;0,014;0,0387;0,0148;0,0000464;0;0;0,03;1,47;16,4;16,7;202;14,5;0,338;0,29;0,0711;0,0936;4,9;1,18;0;35;0;0,37;;;23,5;0,0425;0,032;0,315;0,15;0,165;20,1;0
VALUES;13001;CIQUAL;Fruits séchés ou lyophilisés;Table Ciqual 2013;Abricot, séché, dénoyauté;Abricot, séché, dénoyauté;1150;271;1150;271;29,4;3,14;3,14;53;0,8;40,5;2,66;5,7;0;0;9,4;0,0785;0,342;0,342;0;0;0;0;0;0;0,0785;0;0,342;0,342;0;0;0;0;0,195;39;36,5;68,3;1090;61,2;0,235;4,33;0,306;0,295;2,2;3,2;0;2160;0;4;3,1;;1;0,0075;0,067;2,69;0,608;0,157;22;0
VALUES;13006;CIQUAL;Fruits séchés ou lyophilisés;Table Ciqual 2013;Banane, miséchée;Banane, miséchée;1160;274;1160;274;28;3;3;57;1,81;;;8;0;0;0,56;0,49;0,146;0,588;0;0;0;0;0,0018;0,00506;0,417;0,0165;0,0827;0,31;0,209;0,00224;0;0;;;;;;;3,3;;;;0,9;3;;100;;;;;;;;;0,5;1,3;70;
VALUES;13011;CIQUAL;Fruits séchés ou lyophilisés;Table Ciqual 2013;Datte, séchée, pulpe et peau;Datte, séchée, pulpe et peau;1200;282;1200;282;23,5;2,7;2,7;62,5;0,4;58,1;0;8;0;0;1,26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;18,2;47,2;65;750;44,9;0,304;2,7;0,216;0,226;5;1,4;0;30;0;0,455;;;1,5;0,055;0,12;1,7;0,78;0,16;34;0
VALUES;13013;CIQUAL;Fruits séchés ou lyophilisés;Table Ciqual 2013;Figue, séchée;Figue, séchée;1060;252;1060;252;30,7;3,37;3,37;50,4;1,41;48,1;2,3;11,4;0;0;0,51;0,283;0,314;0,677;0;0;0;0;0;0,00433;0,118;0,031;0,181;0,396;0;0;0;0;0,475;86,3;52,5;87;900;167;0,395;2,41;0,265;0,514;2,2;2,55;0;27;0;0;15,6;;0,8;0,103;0,0973;0,656;0,434;0,162;16;0
VALUES;13051;CIQUAL;Fruits séchés ou lyophilisés;Table Ciqual 2013;Mélange apéritif de fruits exotiques séchés;Mélange apéritif de fruits exotiques séchés;1640;390;1640;390;12,4;2,4;2,4;68,2;10,7;68,1;0;5,6;0;0;;6,67;2,8;0,911;0;0,043;0,492;0,474;3,13;0,885;1,01;0,38;2,62;0,843;0,0682;0,0000869;0;0;0;33,7;33,1;73;450;65;;2,6;;0,4;;3;0;50;0;0,5;;;0;0,1;0,05;0,7;0,09;0,22;15;0
VALUES;13042;CIQUAL;Fruits séchés ou lyophilisés;Table Ciqual 2013;Pruneau;Pruneau;1040;244;1040;244;32,7;2,36;2,36;52,3;0,71;37,9;2,56;5,83;0;0;2,54;0,0725;0,0137;0,152;0;0;0,00693;0,000043;0,0000679;0,000533;0,0561;0,00886;0,00653;0,127;0,025;0;0;0;0,4;4,33;33,7;77,4;657;47,9;0,33;1,98;0,424;0,457;1;1,1;0;254;0;2,04;59,5;;2,53;0,104;0,0987;1,56;0,433;0,188;7,1;0
VALUES;13046;CIQUAL;Fruits séchés ou lyophilisés;Table Ciqual 2013;Raisin sec;Raisin sec;1290;303;1290;303;17,1;2,99;2,99;66,4;0,578;59,2;1,9;3,07;0;0;4,7;0,202;0,0966;0,155;0;0;0;0;0;0,00267;0,162;0,0305;0,087;0,12;0,0342;0;0;0;0;19,7;32,7;97;773;63,8;0,24;2,09;0,438;0,253;2,38;2,5;0;6;0;0,525;3,5;;2,72;0,0753;0,166;1,01;0,105;0,178;27;0
VALUES;23021;CIQUAL;Gâteaux et pâtisseries;Table Ciqual 2013;Baba au rhum;Baba au rhum;983;234;983;234;53,9;3,2;3,2;29,9;8,76;18,5;5,5;0,76;3,1;0;0;5,71;2,27;0,435;0,275;0,168;0,0976;0,211;0,285;0,878;2,99;0,798;2,27;0,385;0,0352;0,0126;0,00253;0;47,3;44,3;6,7;47;55,7;44,3;1;0,3;1;0,25;22,5;10;90;50;0,2;0,35;;;0;0,05;0,1;0,05;0,21;0,05;28,1;0,37
VALUES;23300;CIQUAL;Gâteaux et pâtisseries;Table Ciqual 2013;Baklava ou Baklawa (pâtisserie orientale aux amandes et sirop);Baklava ou Baklawa (pâtisserie orientale aux amandes et sirop);1930;461;1930;461;13,5;10,4;10,4;49,5;24,5;39,6;9,6;1;0;0;0;4,61;13,7;5,24;0,057;0,041;0,023;0,065;0,093;0,22;3,22;0,789;13,7;5,26;0,077;0,0001;0,00932;0;0;29,8;95;125;255;98,3;0,9;1,5;0,4;1,12;5;20;92;26;0,18;6,55;;;0;0,062;0,3;1,2;0,16;0,175;24;0
VALUES;23050;CIQUAL;Gâteaux et pâtisseries;Table Ciqual 2013;Biscuit de Savoie;Biscuit de Savoie;1320;311;1320;311;19,2;5,9;6,05;68,3;0,8;;;3,45;0;0;0;0,121;0,071;0,367;0,0167;0,0116;0,00707;0,0155;0,0144;0,000481;0,0529;0,0024;0,071;0,0106;0,00321;;0,000304;0;0;749;12;324;93;;0,292;0,52;0,064;0,41;;25;0;20;;;;;0;0,102;0,491;0,883;0,198;0,031;3;0,06
VALUES;23032;CIQUAL;Gâteaux et pâtisseries;Table Ciqual 2013;Brownie au chocolat;Brownie au chocolat;1970;471;1970;471;11,5;4,69;4,69;54,4;25,5;35,7;7,5;2,6;0;0;0;10,3;10,4;3,5;0,91;0,526;0,28;0,523;0,645;1,04;5,93;2,82;8,08;2,19;0,551;0,025;0,0271;0,005;16,5;156;41,3;124;224;51,4;0,322;2,2;0,326;0,896;2,2;12;12,5;0;0,2;4,1;6,5;;2,65;0,188;0,21;1,35;0,548;0,0375;9,5;0,165
VALUES;23030;CIQUAL;Gâteaux et pâtisseries;Table Ciqual 2013;Bûche de Noël pâtissière;Bûche de Noël pâtissière;1330;320;1330;320;43,4;4,2;4,2;30,7;19,7;20;10,7;1,3;0;0;0;8,62;4,13;1,02;0,399;0,232;0,141;0,292;0,402;1,18;4,05;1,66;3,61;0,261;0;0,0297;0,00439;0;89;72,8;22,7;94;157;58,3;1;1,6;1;1;3;10;127;;;1,3;;;1,1;0,05;0,23;0,47;0,3;0,05;67;0,4
VALUES;23909;CIQUAL;Gâteaux et pâtisseries;Table Ciqual 2013;Cake aux fruits;Cake aux fruits;1650;392;1650;392;19,5;5;5;55,7;15,3;40,1;15,1;2,58;0,92;0;0;5,4;6,04;2,5;0,556;0,316;0,17;0,323;0,688;1,35;3,89;0,594;5,61;1,68;1,55;0,0177;0,0105;0,0131;113;244;16,3;108;267;38,6;0,146;0,956;0,112;0,524;10;11;110;150;0,45;0,43;;;0,155;0,125;0,12;0,83;0,3;0,12;8;1
