STOP_ON_FIRST_ERROR;false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PATH;/Temp/MP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TYPE;bcpg:rawMaterial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAPPING;USDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COLUMNS;bcpg:code;Water_(g);Energ_Kcal;Protein_(g);Lipid_Tot_(g);Ash_(g);Carbohydrt_(g);Fiber_TD_(g);Sugar_Tot_(g);Calcium_(mg);Iron_(mg);Magnesium_(mg);Phosphorus_(mg);Potassium_(mg);Sodium_(mg);Zinc_(mg);Copper_mg);Manganese_(mg);Selenium_(µg);Vit_C_(mg);Thiamin_(mg);Riboflavin_(mg);Niacin_(mg);Panto_Acid_mg);Vit_B6_(mg);Folate_Tot_(µg);Folic_Acid_(µg);Food_Folate_(µg);Folate_DFE_(µg);Choline_Tot_ (mg);Vit_B12_(µg);Vit_A_IU;Vit_A_RAE;Retinol_(µg);Alpha_Carot_(µg);Beta_Carot_(µg);Beta_Crypt_(µg);Lycopene_(µg);Lut+Zea_ (µg);Vit_E_(mg);Vit_D_µg;ViVit_D_IU;Vit_K_*(µg);FA_Sat_(g);FA_Mono_(g);FA_Poly_(g);Cholestrl_(mg)
VALUES;USDA01174;89,21;50;3,3;1,98;0,71;4,8;0;5,06;120;0,02;11;92;140;47;0,48;0,006;0,014;2,5;0,2;0,039;0,185;0,092;0,356;0,038;5;0;5;5;16,4;0,53;102;28;27;0;7;0;0;0;0,03;0;1;0,2;1,257;0,56;0,073;8
VALUES;USDA01175;89,92;42;3,37;0,97;0,75;4,99;0;5,2;125;0,03;11;95;150;44;0,42;0,01;0,003;3,3;0;0,02;0,185;0,093;0,361;0,037;5;0;5;5;17,7;0,47;47;14;13;0;2;0;0;0;0,01;0;1;0,1;0,633;0,277;0,035;5
VALUES;USDA01178;71;181;7;14,1;0,9;7;0;0,3;141;0,06;11;85;211;70;0,27;0,01;;4,1;0,9;0,04;0,24;0,07;;0,02;11;0;11;11;19,2;0,3;436;119;117;0;27;0;0;0;0,4;0,3;10;0,7;8,7;4,1;0,5;35
VALUES;USDA01179;78,1;138;3,5;10,6;0,7;7,1;0;0,22;141;0,07;10;71;212;71;0,5;0,016;;3,1;0,9;0,04;0,12;0,07;;0,02;11;0;11;11;19,2;0,42;328;90;88;0;21;0;0;0;0,3;0,2;8;0,5;6,6;3,1;0,4;35
VALUES;USDA01180;80,6;74;3,1;0;0,7;15,6;0;0,39;125;0;10;95;129;141;0,5;0,016;;5,3;0;0,04;0,15;0,07;;0,02;11;0;11;11;19,2;0,3;255;73;72;0;9;0;0;0;0;0;0;0;0;0;0;9
VALUES;USDA01182;48,2;282;27,2;18,3;4,3;2;0;0,58;905;0,13;35;583;93;725;4,3;0,021;;15,5;0;0,03;0,3;0,06;;0,084;20;0;20;20;15,4;1,66;633;150;142;0;95;0;0;0;0,16;0,3;13;1,5;11,58;5,02;0,75;56
VALUES;USDA01184;87,43;43;3,86;0,18;1;7,5;0;7,5;143;0,12;13;109;177;59;0,67;0,079;;3,1;1,1;0,034;0,162;0,086;;0,037;8;0;8;8;15,2;0,43;6;2;2;0;0;0;0;0;0;0;0;0;0,116;0,049;0,005;2
VALUES;USDA01185;8,6;370;40;5;6,4;40;0;1,5;800;5;40;700;600;1150;3;0,02;;43,3;0;0,05;0,05;0,2;;0,1;25;0;25;25;15,4;1,1;151;40;39;0;13;0;0;0;0,04;0;0;0,4;3,11;1,446;0,186;20
VALUES;USDA01186;71,87;105;15,69;1;3,77;7,66;0;5,48;351;0,19;22;523;278;702;1,5;0,036;0,017;4,9;0;0,04;0,265;0,23;0,84;0,05;35;0;35;35;65,2;0,95;53;11;10;0;11;0;0;0;0,02;0;0;0,2;0,644;0,25;0,057;12
VALUES;USDA01187;71,57;112;3,53;0;1,37;23,53;1,2;14,97;88;0,42;40;166;339;135;1,13;0,209;;7;0;0,047;0,215;0,223;;0,047;12;0;12;12;15,2;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
VALUES;USDA01188;51,5;276;12;21;5,8;9,2;0,3;6,7;359;0,19;;806;240;1638;1,64;;;;0,4;;0,24;;;;;;;;;;649;;;;;;;;;;;;13,1;;;75
VALUES;USDA01189;51,5;215;16,3;9,5;6,4;16,2;0,2;8,2;418;0,16;;943;297;1705;2,36;;;;0,4;;0,33;;;;;;;;;;628;;;;;;;;;;;;6,4;;;35
VALUES;USDA01190;58;148;22,7;1;6,1;11,7;0,2;6,7;712;0,05;;923;236;1298;2,5;;;;0,2;;0,28;;;;;;;;;;2166;;;;;;;;;;;;0,7;;;16
VALUES;USDA01191;45,8;303;16,3;22;6;9,8;0;8,1;466;0,18;;863;335;1499;1,84;;;;0,2;;0,35;;;;;;;;;;1107;;;;;;;;;;;;14,4;;;80
VALUES;USDA01192;51,3;222;19,6;10,6;6,6;11,8;0;8,5;574;0,14;;1024;345;1586;2,49;;;;0,1;;0,65;;;;;;;;;;982;;;;;;;;;;;;7,1;;;42
VALUES;USDA01193;76,2;152;4,5;12;0,8;6,5;0,1;6,4;161;0,06;;110;210;59;;;;;1,1;;;;;;;;;;;;1053;;;;;;;;;;;;7,6;;;50
VALUES;USDA01194;77,7;91;4,7;1,3;1,2;15,1;0;7,2;141;0,05;;116;219;72;;;;;1,2;;;;;;;;;;;;679;;;;;;;;;;;;0,8;;;9
VALUES;USDA01195;76,5;96;3,8;0,8;0,7;18,2;0,2;17,4;125;0,1;;89;192;52;;;;;0;;0,19;;;;;;;;;0,53;34;;;;;;;;;;;;0,5;;;9
VALUES;USDA01196;73,3;108;3,2;0,8;0,6;21,9;0,2;19,6;91;0,11;;67;151;45;;;;;0;;0,14;;;;;;;;;0,46;30;;;;;;;;;;;;0,5;;;9
VALUES;USDA01197;74,8;102;3,8;0,9;0,7;19,9;0,3;17,2;108;0,13;;78;177;55;;;;;0;;0,18;;;;;;;;;0,52;31;;;;;;;;;;;;0,5;;;9
VALUES;USDA01198;86;55;3,4;0,2;0,6;9,9;0;7,7;95;0,11;;68;146;45;;;;;0,6;;0,14;;;;;;;;;0,41;4;;;;;;;;;;;;0,1;;;5
VALUES;USDA01199;86;59;2,6;1,4;1;9;0;5;96;0;16;151;206;100;0,81;0,016;0,002;2,9;0,7;0,056;0,237;0,124;0,459;0,062;4;0;4;4;15;0,52;43;12;12;0;3;0;0;0;0,04;0;0;0,2;0,841;0,384;0,052;5
VALUES;USDA01200;66,44;149;3;5;0,56;25;0,4;16;108;0,03;8;68;108;72;0,31;0,019;;3;0;0,148;0,619;0,364;;0,123;17;0;17;17;0;1,48;175;49;48;0;9;0;0;0;0,09;0;0;0,3;2,869;1,25;0,299;16
VALUES;USDA01202;82,17;78;2,99;1,9;0,81;12,13;0,7;9,55;194;0,24;14;76;123;66;0,39;0,075;0,062;3,4;0;0,045;0,565;0,164;0,539;0,024;2;0;2;2;;0,33;227;64;63;0;11;0;0;0;0,04;;;0,2;1,177;0,455;0,089;8
VALUES;USDA01203;74,1;105;4,86;1,41;1,03;18,6;0;2,9;152;0,07;16;133;194;58;0,82;0,08;0,065;3,1;0,7;0,041;0,18;0,105;0,544;0,045;10;0;10;10;15,2;0,52;443;131;131;0;4;0;0;0;0,06;0;1;1,2;0,909;0,387;0,04;6
